questionText,option1,option2,option3,option4,correctAnswer,marks,difficulty
What keyword is used for a variable that can be reassigned?,const,let,var,static,3,1,easy
Which method adds an element to the end of an array?,shift(),unshift(),pop(),push(),4,1,easy
How do you check the data type of a variable?,typeof,dataOf,typeCheck,dataType,1,1,easy
Which loop executes at least once?,for,while,do...while,for...in,3,1,easy
How do you define a function named calculate?,(calculate),func calculate(),function calculate(),def calculate(),3,1,easy
What built-in object handles dates?,Time,DateTime,Date,Clock,3,1,easy
Which method prevents an event's default action?,stopEvent(),preventAction(),preventDefault(),stopPropagation(),3,1,easy
How do you select an element by its ID?,querySelector(#id),getElementByID(id),getElementById(id),selectID(id),3,1,easy
What converts a JSON string to an object?,JSON.toObject(),JSON.convert(),JSON.parse(),JSON.stringify(),3,1,easy
What does NaN stand for?,New and Null,Not a Null,Not a Number,Not Applicable,3,1,easy
Which array method iterates over elements?,map(),filter(),reduce(),forEach(),4,1,easy
What block handles errors in try/catch?,try,throw,finally,catch,4,1,easy
Which keyword defines a class in ES6?,object,def,class,module,3,1,easy
What property of an array returns its length?,size,count,length,extent,3,1,easy
How do you comment a single line in JavaScript?,// comment,,/* comment */,# comment,1,1,easy
Which operator is used for exponentiation (e.g.,^,**,exp,power(),2,1,easy
Which function displays a pop-up box with a message?,prompt(),confirm(),alert(),log(),3,1,easy
What is the result of 10 % 3?,3,1,3.33,0,2,1,easy
Which value represents the absence of an object value?,void,null,undefined,0,2,1,easy
Which operator checks for inequality of value and type?,!==,!=,<>,is not,1,1,easy
What is the result of '5' + 3 in JavaScript?,8,53,NaN,undefined,2,2,medium
What does the === operator check for?,Value only,Assignment,Value and type,Inequality,3,2,medium
Which method removes the last element from an array?,shift(),push(),splice(),pop(),4,2,medium
What is the scope of a variable declared with let?,Global Scope,Function Scope,Block Scope,Lexical Scope,3,2,medium
Which event occurs when the user clicks on an HTML element?,onchange,onmouseclick,onmouseover,onclick,4,2,medium
What is closure in JavaScript?,A new syntax for classes,A function bundled with its lexical scope,A way to stop a loop,A method for fetching data,2,2,medium
Which method is used to get all elements by a class name?,getElementById(),querySelector(),getElementsByClassName(),querySelectorAll(),3,2,medium
Which array method creates a new array by applying a function to every element?,filter(),reduce(),map(),forEach(),3,2,medium
How do you import a module in ES6?,include 'module',require('module'),import 'module',load 'module',3,2,medium
What is a callback function?,A function that calls itself,A function passed as an argument to another function,A function defined inside an object,A function that returns a Promise,2,2,medium
What is hoisting in JavaScript?,Error handling,Security feature,Moving declarations to the top of their scope,A new method,3,3,hard
What are Promises used for?,Constant variable,Synchronous code,Handling asynchronous operations,Looping arrays,3,3,hard
What does the rest parameter (...) do?,Copies an object,Collects arguments into an array,Spreads an array,Declares a default value,2,3,hard
What is the main difference between let and var?,let is for global scope,var is for block scope,let is block-scoped var is function-scoped,let can be reassigned var cannot,3,3,hard
Which array method reduces the array to a single value?,map(),filter(),reduce(),some(),3,3,hard
What does use strict do?,Enables ES6 features,Enforces stricter parsing and error handling,Disables automatic semicolon insertion,Optimizes loop performance,2,3,hard
In an arrow function what is the value of this?,The function itself,undefined,The global object,Inherited from the surrounding lexical context,4,3,hard
What is event bubbling?,An error in event handling,An event propagating up the DOM tree,An event propagating down the DOM tree,An event that occurs before the DOM loads,2,3,hard
How do you deep clone an object without using external libraries?,Object.assign(),Object.create(),JSON.parse(JSON.stringify(obj)),new Object(obj),3,3,hard
Which keyword is used to conditionally apply a mixin's properties to a class?,extends,implements,super,static,4,3,hard
